run_id,model,embedding_dim,learning_rate,epochs,negative_samples,mrr,hits_at_1,hits_at_3,hits_at_10
RotatE_dim64_lr0.01_ep25_neg16,RotatE,64,0.01,25,16,0.6513523459434509,0.5291723202170964,0.7408412483039348,0.8521031207598372
TransE_dim32_lr0.01_ep25_neg16,TransE,32,0.01,25,16,0.43604153394699097,0.3093622795115332,0.4925373134328358,0.6933514246947082
TransE_dim64_lr0.01_ep25_neg16,TransE,64,0.01,25,16,0.429152250289917,0.2971506105834464,0.4796472184531886,0.7198100407055631
TransE_dim64_lr0.005_ep25_neg16,TransE,64,0.005,25,16,0.3890998959541321,0.26255088195386705,0.4287652645861601,0.6560379918588873
DistMult_dim64_lr0.01_ep25_neg16,DistMult,64,0.01,25,16,0.31314367055892944,0.23609226594301222,0.32632293080054275,0.49050203527815467
ComplEx_dim64_lr0.01_ep25_neg16,ComplEx,64,0.01,25,16,0.0792054682970047,0.01967435549525102,0.07259158751696065,0.1824966078697422
