boroughLabel,highMobilityDays,avgEstimatedTrips,totalCollisions,avgCollisionsPerDay
BROOKLYN,156,239692.09108974345,18653,119.5705128205128205128205128
QUEENS,156,239692.09108974345,16948,108.6410256410256410256410256
MANHATTAN,156,239692.09108974345,14974,95.98717948717948717948717949
BRONX,156,239692.09108974345,8693,55.72435897435897435897435897
STATEN ISLAND,156,239692.09108974345,2757,17.67307692307692307692307692
